S.no,Title,Type,Premiere,Genre,Watchtime,Language,Origin,Watchtime in Million,Director,Cast,Rating,Popularity,Duration,Vote Avg,User Reviews,Seasons,Episodes,Target Age,Description
20,Sweet Tooth,TV Show,2021-2024,Fantasy,"182,300,000",English,USA,182.3M,Jim MickleBeth Schwartz,"Nonso Anozie, Christian Convery, and Adeel Akhtar",7.7,805,50,67000,773,3,24,TV-14,"Ten years ago ""The Great Crumble"" wreaked havoc on the world and led to the mysterious emergence of hybrids babies born part human, part animal. Unsure if hybrids are the cause or result of the virus, many humans fear and hunt them. After a decade of living safely in his secluded forest home, a sheltered hybrid deer-boy named Gus (Christian Convery) unexpectedly befriends a wandering loner named Jepperd (Nonso Anozie). Together they set out on an extraordinary adventure across what's left of America in search of answers about Gus' origins, Jepperd's past, and the true meaning of home. But their story is full of unexpected allies and enemies, and Gus quickly learns the lush, dangerous world outside the forest is more complex than he ever could have imagined"
21,Perfect Match,TV Show,2023-2024,Reality-Show,"176,800,000",English,USA,176.8M,Anthony Gonzales,Nick LacheyDom GabrielJoey Sasso,5.9,3438,60,1700,28,2,22,TV-14,"A tropical paradise in an attempt to find love. As they compete to form relationships, the most compatible couples will play matchmaker, breaking up other couples and sending them on dates with brand-new singles they'll invite to the villa. Will they create better matches, or will they create chaos?"
22,The Marked Heart,TV Show,2022-2023,Thriller,"174,300,000",Spanish,Columbia,174.3M,Andres Beltran,Michel BrownAna Luc¡a Dom¡nguezSebasti n Mart¡nez,6.5,2806,45,4000,54,2,24,TV-14,"Sim¢n's wife is killed to extract her heart and transplant it to Camila, the wife of a wealthy man. Seeking revenge, Sim¢n plunges into the dangerous world of organ trafficking. In the frantic search for him, fate will make him fall in love with Camila, the woman who survived thanks to the heart of his murdered wife. The climax will come when both discover the truth."
23,Never Have I Ever,TV Show,2020-2023,Comedy,"168,300,000",English,USA,168.3M,Lang FisherMindy Kaling,Maitreyi RamakrishnanPoorna JagannathanDarren Barnet,7.8,768,30,81000,701,4,40,TC-14,"Devi Vishwakumar, a teen living in Sherman Oaks, Los Angeles, takes us through her four years of high school while grieving the loss of her father, clumsily pursuing her crushes, and discovering her true self. Loosely based on Mindy Kaling's childhood."
24,Emily in Paris,TV Show,2020-2022,Drama,"161,100,000",English,USA,161.1M,Andrew Fleming,Lily CollinsAshley ParkPhilippine Leroy-Beaulieu,6.9,473,30,117000,1100,3,30,TV-MA,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
25,Alice in Borderland,TV Show,2020-2022,Thriller,"157,600,000",Japanese,Japan,157.6M,Shinsuke Sato,Kento YamazakiTao TsuchiyaNijir“ Murakami,7.7,556,50,97000,739,2,16,TV-MA,Arisu is a man without much money or luck. He is unemployed currently as well. Out of the blue a blinding light engulfs him one day in whose aftermath the city of Tokyo has lost all its inhabitants save Arisu and two friends. This is a dangerous and potentially fatal game of survival now in which they are forced to take part
26,Alchemy of Souls,TV Show,2022,Fantasy,"155,300,000",Korean,S Korea,155.3M,Park Joon-hwa,Lee Jae-wookHwang Min-hyunYoo Joon-sang,8.7,869,80,18000,239,1,30,TCV-14,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies."
27,New Amsterdam,TV Show,2018-2023,Drama,"153,000,000",English,USA,153.0M,Michael Slovis,Ryan EggoldJanet MontgomeryJocko Sims,8,491,43,49000,804,5,89,TCV-14,A new medical director breaks the rules to heal the system at America's oldest public hospital.
28,Mr. Queen,TV Show,2020,Comedy,"151,500,000",Korean,S Korea,151.5M,Yoon Sung-shik,Shin Hye-sunKim Jung-hyunSeol In-ah,8.6,1806,70,11000,152,1,20,TV-MA,"When a modern day chef gets trapped in the body of a queen in the Joseon era, chaos ensues."
29,Manifest,TV Show,2018,Thriller,"151,400,000",English,USA,151.4M,Romeo Tirone,Melissa RoxburghJosh DallasJ.R. Ramirez,7,252,43,92000,1700,4,62,TV-14,"When a commercial airliner suddenly reappears after being missing for five years, those aboard must reintegrate into society."
30,Alchemy of Souls,TV Show,2022,Fantasy,"150,200,000",Korean,S Korea,150.2M,Park Joon-hwa,Lee Jae-wookHwang Min-hyunYoo Joon-sang,8.7,869,80,18000,239,1,30,TV-14,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies"
31,Paw Patrol,TV Show,2013-2024,Animation,"149,300,000","Canada, USA",English,149.3M,Charles E. Bastien,Ron PardoKallan HolleyJustin Paul Kelly,6.1,1098,23,4800,54,11,264,TV-Y,"Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay."
32,The Good Bad Mother,TV Show,2023,Comedy,"148,600,000",Korean,S Korea,148.6M,Shim Na-yeon,Ra Mi-ranLee Do-hyunAhn Eun-jin,8.4,3014,70,4900,50,1,14,TV-MA,"A tragic accident leaves an ambitious prosecutor with the mind of a child, forcing him and his mother to embark on a journey to heal their relationship."
33,The Recruit,TV Show,2022,Action,"146,900,000",English,USA,146.9M,Julian Holmes,Noah CentineoFivel StewartAarti Mann,7.4,710,55,47000,232,1,8,TV-MA,Follows a lawyer at the CIA who gets entangled in dangerous international power politics when a former asset threatens to expose the nature of her long-term relationship with the agency.
34,Bloodhounds,TV Show,2023,Thriller,"146,700,000",Korean,S Korea,146.7M,Joo-hwan Kim,Woo Do-HwanLee Sang-yiHuh Joon-ho,8.1,1729,60,13000,90,1,8,TV-MA,"In order to pay off their debt, three daring youths jump into the money-lending business while confronting the rich and powerful who prey on the weak."
35,Wrong Side of the Tracks,TV Show,2022-2023,Drama,"140,100,000",Spanish,spain,140.1M,I¤aki Mercero,Jose CoronadoLuis ZaheraNona Sobo,7,918,79,5500,97,3,24,TV-MA,"When his teenage granddaughter falls victim to the drug dealers overtaking his neighborhood, a fed-up war veteran takes matters into his own hands."
36,Black Mirror,TV Show,20112023,Science Fiction,"139,900,000",English,UK,139.9M,Otto Bathurst,Wunmi MosakuMonica DolanDaniel Lapaine,8.7,76,60,642000,1000,6,26,TV-MA,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world."
37,The Walking Dead,TV Show,2010-2023,Horror,"136,800,000",English,USA,136.8M,Greg Nicotero,Andrew LincolnNorman ReedusMelissa McBride,8.1,34,45,1100000,2600,11,177,TV-MA,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
38,Bridgerton,TV Show,2020-2024,History,"136,600,000",English,USA,136.6M,Chris Van Dusen,Nicola CoughlanClaudia JessieLuke Newton,7.4,17,60,172000,1900,3,24,TV-MA,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society.
39,Extraordinary Attorney Woo,TV Show,2022,Drama,"135,900,000",Korean,S Korea,135.9M,Yu In-sik,Park Eun-binKang Tae-ohKang Ki-young,8.6,1289,75,27000,263,1,16,TV-14,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school."
40,The Snow Girl,TV Show,2023-2024,Crime,"134,800,000",Spanish,Spao,134.8M,David Ulloa,Milena SmitJose CoronadoAixa Villagr n,6.8,1778,42,8200,65,2,12,TV-MA,"During the Cavalcade of the Magi parade, the Mart¡n family's daughter Amaya disappears. Journalist Miren takes on the case, determined to find her."
41,Stranger Things,TV Show,2016,Thriller,"133,600,000",English,USA,133.6M,Matt Duffer,Millie Bobby BrownFinn WolfhardWinona Ryder,8.7,43,60,130000,3800,4,34,TV-MA,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
42,The Marked Heart,TV Show,2022-2023,Thriller,"133,500,000",Spanish,"Columbia, Argentina",133.5M,Andres Beltran,Michel BrownAna Luc¡a Dom¡nguezSebasti n Mart¡nez,6.5,2806,45,4000,54,2,24,TV-MA,"Sim¢n's wife was killed to extract her heart and transplant it to Camila, the wife of a rich man. In search of revenge, he dives into the dangerous world of organ trafficking"
43,Bridgerton,TV Show,2020-2024,History,"133,400,000",English,USA,133.4M,Tom Verica,Nicola CoughlanClaudia JessieLuke Newton,7.4,17,60,172000,1900,3,24,TV-MA,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society.
44,Breaking Bad,TV Show,2008-20132,Crime,"116,200,000",English,USA,116.2M,Michelle MacLaren,ryan CranstonAaron PaulAnna Gunn,9.5,30,45,2100000,4900,5,62,TV-MA,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
45,Lucifer,TV Show,2016-2021,Superhero,"102,800,000",English,USA,102.8M,Nathan Hope,Tom EllisLauren GermanKevin Alejandro,8.1,152,42,357000,2400,6,93,TV-14,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
